id,date,item,quantity,price,status
1761191227240,2025-10-23T03:47:07.240Z,BUKU TULIS KOTAK KECIL,2,8000,disetor
1761195736722,2025-10-23T05:02:16.722Z,BUKU TULIS GARIS 2,1,8000,disetor
1761267227856,2025-10-24T00:53:47.856Z,BUKU TULIS KOTAK KECIL,1,8000,disetor
1761277249612,2025-10-24T03:40:49.612Z,BUKU TULIS GARIS 2,1,8000,disetor
1761535297716,2025-10-27T03:21:37.716Z,PENA,2,2000,disetor
1761535360571,2025-10-27T03:22:40.571Z,BUKU TULIS KOTAK KECIL,4,8000,disetor
1761552734777,2025-10-27T08:12:14.777Z,BUKU TULIS KOTAK KECIL,1,8000,disetor
1761618548339,2025-10-28T02:29:08.339Z,BUKU TULIS GARIS 2,1,8000,disetor
1761618552925,2025-10-28T02:29:12.925Z,BUKU TULIS KOTAK KECIL,1,8000,disetor
1761618550723,2025-10-28T02:29:10.723Z,BUKU TULIS KOTAK BESAR,1,8000,disetor
1761622977984,2025-10-28T03:42:57.984Z,BUKU TULIS KOTAK KECIL,1,8000,disetor
1761625413870,2025-10-28T04:23:33.870Z,BUKU TULIS GARIS 2,1,8000,disetor
1761632110692,2025-10-28T06:15:10.692Z,BUKU TULIS KOTAK KECIL,1,8000,disetor